Date, Time,Power
24.07.2022,10:45:00,974.4
24.07.2022,11:00:00,1009.6
24.07.2022,11:15:00,1068.8
24.07.2022,11:30:00,1094.4
24.07.2022,11:45:00,1113.6
24.07.2022,12:00:00,1064
24.07.2022,12:15:00,1072
24.07.2022,12:30:00,987.2
24.07.2022,12:45:00,1273.6
24.07.2022,13:00:00,200
24.07.2022,13:15:00,347.2
24.07.2022,13:30:00,886.4
24.07.2022,13:45:00,97.6
24.07.2022,14:00:00,196.8
24.07.2022,14:15:00,184
24.07.2022,14:30:00,182.4
24.07.2022,14:45:00,680
24.07.2022,15:00:00,600
24.07.2022,15:15:00,758.4
24.07.2022,15:30:00,384
24.07.2022,15:45:00,1000
24.07.2022,16:00:00,872
24.07.2022,16:15:00,1043.2
24.07.2022,16:30:00,982.4
24.07.2022,16:45:00,817.6
24.07.2022,17:00:00,643.2
24.07.2022,17:15:00,809.6
24.07.2022,17:30:00,737.6
24.07.2022,17:45:00,513.6
24.07.2022,18:00:00,398.4
24.07.2022,18:15:00,475.2
24.07.2022,18:30:00,424
24.07.2022,18:45:00,329.6
24.07.2022,19:00:00,238.4
24.07.2022,19:15:00,172.8
24.07.2022,19:30:00,118.4
24.07.2022,19:45:00,78.4
24.07.2022,20:00:00,52.8
24.07.2022,20:15:00,38.4
24.07.2022,20:30:00,28.8
24.07.2022,20:45:00,17.6
24.07.2022,21:00:00,9.6
24.07.2022,21:15:00,0
24.07.2022,21:30:00,0
24.07.2022,21:45:00,0
24.07.2022,22:00:00,0
24.07.2022,22:15:00,0
24.07.2022,22:30:00,0
24.07.2022,22:45:00,0
24.07.2022,23:00:00,0
24.07.2022,23:15:00,0
24.07.2022,23:30:00,0
24.07.2022,23:45:00,0
25.07.2022,00:00:00,0
25.07.2022,00:15:00,0
25.07.2022,00:30:00,0
25.07.2022,00:45:00,0
25.07.2022,01:00:00,0
25.07.2022,01:15:00,0
25.07.2022,01:30:00,0
25.07.2022,01:45:00,0
25.07.2022,02:00:00,0
25.07.2022,02:15:00,0
25.07.2022,02:30:00,0
25.07.2022,02:45:00,0
25.07.2022,03:00:00,0
25.07.2022,03:15:00,0
25.07.2022,03:30:00,0
25.07.2022,03:45:00,0
25.07.2022,04:00:00,0
25.07.2022,04:15:00,0
25.07.2022,04:30:00,0
25.07.2022,04:45:00,0
25.07.2022,05:00:00,0
25.07.2022,05:15:00,0
25.07.2022,05:30:00,0
25.07.2022,05:45:00,0
25.07.2022,06:00:00,4.8
25.07.2022,06:15:00,19.2
25.07.2022,06:30:00,28.8
25.07.2022,06:45:00,38.4
25.07.2022,07:00:00,59.2
25.07.2022,07:15:00,91.2
25.07.2022,07:30:00,140.8
25.07.2022,07:45:00,196.8
25.07.2022,08:00:00,260.8
25.07.2022,08:15:00,329.6
25.07.2022,08:30:00,411.2
25.07.2022,08:45:00,488
25.07.2022,09:00:00,563.2
25.07.2022,09:15:00,633.6
25.07.2022,09:30:00,705.6
25.07.2022,09:45:00,771.2
25.07.2022,10:00:00,830.4
25.07.2022,10:15:00,888
25.07.2022,10:30:00,944
25.07.2022,10:45:00,990.4
25.07.2022,11:00:00,1033.6
25.07.2022,11:15:00,1070.4
25.07.2022,11:30:00,1100.8
25.07.2022,11:45:00,1131.2
25.07.2022,12:00:00,1160
25.07.2022,12:15:00,1174.4
25.07.2022,12:30:00,1177.6
25.07.2022,12:45:00,1179.2
25.07.2022,13:00:00,1190.4
25.07.2022,13:15:00,1190.4
25.07.2022,13:30:00,1208
25.07.2022,13:45:00,1206.4
25.07.2022,14:00:00,1224
25.07.2022,14:15:00,1075.2
25.07.2022,14:30:00,998.4
25.07.2022,14:45:00,1179.2
25.07.2022,15:00:00,1161.6
25.07.2022,15:15:00,1139.2
25.07.2022,15:30:00,1124.8
25.07.2022,15:45:00,828.8
25.07.2022,16:00:00,896
25.07.2022,16:15:00,838.4
25.07.2022,16:30:00,350.4
25.07.2022,16:45:00,588.8
25.07.2022,17:00:00,377.6
25.07.2022,17:15:00,656
25.07.2022,17:30:00,329.6
25.07.2022,17:45:00,171.2
25.07.2022,18:00:00,110.4
25.07.2022,18:15:00,192
